date,value,ticker,data_flag
2020-03-19,1.12,DGS10,actual
2020-03-20,0.92,DGS10,actual
2020-03-23,0.76,DGS10,actual
2020-03-24,0.84,DGS10,actual
2020-03-25,0.88,DGS10,actual
2020-03-26,0.83,DGS10,actual
2020-03-27,0.72,DGS10,actual
2020-03-30,0.7,DGS10,actual
2020-03-31,0.7,DGS10,actual
2020-04-01,0.62,DGS10,actual
2020-04-02,0.63,DGS10,actual
2020-04-03,0.62,DGS10,actual
2020-04-06,0.67,DGS10,actual
2020-04-07,0.75,DGS10,actual
2020-04-08,0.77,DGS10,actual
2020-04-09,0.73,DGS10,actual
2020-04-10,,DGS10,actual
2020-04-13,0.76,DGS10,actual
2020-04-14,0.76,DGS10,actual
2020-04-15,0.63,DGS10,actual
2020-04-16,0.61,DGS10,actual
2020-04-17,0.65,DGS10,actual
2020-04-20,0.63,DGS10,actual
2020-04-21,0.58,DGS10,actual
2020-04-22,0.63,DGS10,actual
2020-04-23,0.61,DGS10,actual
2020-04-24,0.6,DGS10,actual
2020-04-27,0.67,DGS10,actual
2020-04-28,0.62,DGS10,actual
2020-04-29,0.63,DGS10,actual
2020-04-30,0.64,DGS10,actual
2020-05-01,0.64,DGS10,actual
2020-05-04,0.64,DGS10,actual
2020-05-05,0.66,DGS10,actual
2020-05-06,0.72,DGS10,actual
2020-05-07,0.63,DGS10,actual
2020-05-08,0.69,DGS10,actual
2020-05-11,0.73,DGS10,actual
2020-05-12,0.69,DGS10,actual
2020-05-13,0.64,DGS10,actual
2020-05-14,0.63,DGS10,actual
2020-05-15,0.64,DGS10,actual
2020-05-18,0.73,DGS10,actual
2020-05-19,0.7,DGS10,actual
2020-05-20,0.68,DGS10,actual
2020-05-21,0.68,DGS10,actual
2020-05-22,0.66,DGS10,actual
2020-05-25,,DGS10,actual
2020-05-26,0.69,DGS10,actual
2020-05-27,0.68,DGS10,actual
2020-05-28,0.7,DGS10,actual
2020-05-29,0.65,DGS10,actual
2020-06-01,0.66,DGS10,actual
2020-06-02,0.68,DGS10,actual
2020-06-03,0.77,DGS10,actual
2020-06-04,0.82,DGS10,actual
2020-06-05,0.91,DGS10,actual
2020-06-08,0.88,DGS10,actual
2020-06-09,0.84,DGS10,actual
2020-06-10,0.75,DGS10,actual
2020-06-11,0.66,DGS10,actual
2020-06-12,0.71,DGS10,actual
2020-06-15,0.71,DGS10,actual
2020-06-16,0.75,DGS10,actual
2020-06-17,0.74,DGS10,actual
2020-06-18,0.71,DGS10,actual
2020-06-19,0.7,DGS10,actual
2020-06-22,0.71,DGS10,actual
2020-06-23,0.72,DGS10,actual
2020-06-24,0.69,DGS10,actual
2020-06-25,0.68,DGS10,actual
2020-06-26,0.64,DGS10,actual
2020-06-29,0.64,DGS10,actual
2020-06-30,0.66,DGS10,actual
2020-07-01,0.69,DGS10,actual
2020-07-02,0.68,DGS10,actual
2020-07-03,,DGS10,actual
2020-07-06,0.69,DGS10,actual
2020-07-07,0.65,DGS10,actual
2020-07-08,0.67,DGS10,actual
2020-07-09,0.62,DGS10,actual
2020-07-10,0.65,DGS10,actual
2020-07-13,0.64,DGS10,actual
2020-07-14,0.63,DGS10,actual
2020-07-15,0.64,DGS10,actual
2020-07-16,0.62,DGS10,actual
2020-07-17,0.64,DGS10,actual
2020-07-20,0.62,DGS10,actual
2020-07-21,0.61,DGS10,actual
2020-07-22,0.6,DGS10,actual
2020-07-23,0.59,DGS10,actual
2020-07-24,0.59,DGS10,actual
2020-07-27,0.62,DGS10,actual
2020-07-28,0.59,DGS10,actual
2020-07-29,0.58,DGS10,actual
2020-07-30,0.55,DGS10,actual
2020-07-31,0.55,DGS10,actual
2020-08-03,0.56,DGS10,actual
2020-08-04,0.52,DGS10,actual
2020-08-05,0.55,DGS10,actual
2020-08-06,0.55,DGS10,actual
2020-08-07,0.57,DGS10,actual
2020-08-10,0.59,DGS10,actual
2020-08-11,0.64,DGS10,actual
2020-08-12,0.69,DGS10,actual
2020-08-13,0.71,DGS10,actual
2020-08-14,0.71,DGS10,actual
2020-08-17,0.69,DGS10,actual
2020-08-18,0.67,DGS10,actual
2020-08-19,0.68,DGS10,actual
2020-08-20,0.65,DGS10,actual
2020-08-21,0.64,DGS10,actual
2020-08-24,0.65,DGS10,actual
2020-08-25,0.69,DGS10,actual
2020-08-26,0.69,DGS10,actual
2020-08-27,0.74,DGS10,actual
2020-08-28,0.74,DGS10,actual
2020-08-31,0.72,DGS10,actual
2020-09-01,0.68,DGS10,actual
2020-09-02,0.66,DGS10,actual
2020-09-03,0.63,DGS10,actual
2020-09-04,0.72,DGS10,actual
2020-09-07,,DGS10,actual
2020-09-08,0.69,DGS10,actual
2020-09-09,0.71,DGS10,actual
2020-09-10,0.68,DGS10,actual
2020-09-11,0.67,DGS10,actual
2020-09-14,0.68,DGS10,actual
2020-09-15,0.68,DGS10,actual
2020-09-16,0.69,DGS10,actual
2020-09-17,0.69,DGS10,actual
2020-09-18,0.7,DGS10,actual
2020-09-21,0.68,DGS10,actual
2020-09-22,0.68,DGS10,actual
2020-09-23,0.68,DGS10,actual
2020-09-24,0.67,DGS10,actual
2020-09-25,0.66,DGS10,actual
2020-09-28,0.67,DGS10,actual
2020-09-29,0.66,DGS10,actual
2020-09-30,0.69,DGS10,actual
2020-10-01,0.68,DGS10,actual
2020-10-02,0.7,DGS10,actual
2020-10-05,0.78,DGS10,actual
2020-10-06,0.76,DGS10,actual
2020-10-07,0.81,DGS10,actual
2020-10-08,0.78,DGS10,actual
2020-10-09,0.79,DGS10,actual
2020-10-12,,DGS10,actual
2020-10-13,0.74,DGS10,actual
2020-10-14,0.73,DGS10,actual
2020-10-15,0.74,DGS10,actual
2020-10-16,0.76,DGS10,actual
2020-10-19,0.78,DGS10,actual
2020-10-20,0.81,DGS10,actual
2020-10-21,0.83,DGS10,actual
2020-10-22,0.87,DGS10,actual
2020-10-23,0.85,DGS10,actual
2020-10-26,0.81,DGS10,actual
2020-10-27,0.79,DGS10,actual
2020-10-28,0.79,DGS10,actual
2020-10-29,0.85,DGS10,actual
2020-10-30,0.88,DGS10,actual
2020-11-02,0.87,DGS10,actual
2020-11-03,0.9,DGS10,actual
2020-11-04,0.78,DGS10,actual
2020-11-05,0.79,DGS10,actual
2020-11-06,0.83,DGS10,actual
2020-11-09,0.96,DGS10,actual
2020-11-10,0.98,DGS10,actual
2020-11-11,,DGS10,actual
2020-11-12,0.88,DGS10,actual
2020-11-13,0.89,DGS10,actual
2020-11-16,0.91,DGS10,actual
2020-11-17,0.87,DGS10,actual
2020-11-18,0.88,DGS10,actual
2020-11-19,0.86,DGS10,actual
2020-11-20,0.83,DGS10,actual
2020-11-23,0.86,DGS10,actual
2020-11-24,0.88,DGS10,actual
2020-11-25,0.88,DGS10,actual
2020-11-26,,DGS10,actual
2020-11-27,0.84,DGS10,actual
2020-11-30,0.84,DGS10,actual
2020-12-01,0.92,DGS10,actual
2020-12-02,0.95,DGS10,actual
2020-12-03,0.92,DGS10,actual
2020-12-04,0.97,DGS10,actual
2020-12-07,0.94,DGS10,actual
2020-12-08,0.92,DGS10,actual
2020-12-09,0.95,DGS10,actual
2020-12-10,0.92,DGS10,actual
2020-12-11,0.9,DGS10,actual
2020-12-14,0.9,DGS10,actual
2020-12-15,0.92,DGS10,actual
2020-12-16,0.92,DGS10,actual
2020-12-17,0.94,DGS10,actual
2020-12-18,0.95,DGS10,actual
2020-12-21,0.95,DGS10,actual
2020-12-22,0.93,DGS10,actual
2020-12-23,0.96,DGS10,actual
2020-12-24,0.94,DGS10,actual
2020-12-25,,DGS10,actual
2020-12-28,0.94,DGS10,actual
2020-12-29,0.94,DGS10,actual
2020-12-30,0.93,DGS10,actual
2020-12-31,0.93,DGS10,actual
