Date,Open,High,Low,Close,Volume
2020-05-07,0.63,0.63,0.63,0.63,0
2020-05-08,0.69,0.69,0.69,0.69,0
2020-05-11,0.73,0.73,0.73,0.73,0
2020-05-12,0.69,0.69,0.69,0.69,0
2020-05-13,0.64,0.64,0.64,0.64,0
2020-05-14,0.63,0.63,0.63,0.63,0
2020-05-15,0.64,0.64,0.64,0.64,0
2020-05-18,0.73,0.73,0.73,0.73,0
2020-05-19,0.7,0.7,0.7,0.7,0
2020-05-20,0.68,0.68,0.68,0.68,0
2020-05-21,0.68,0.68,0.68,0.68,0
2020-05-22,0.66,0.66,0.66,0.66,0
2020-05-25,0.675,0.675,0.675,0.675,0
2020-05-26,0.69,0.69,0.69,0.69,0
2020-05-27,0.68,0.68,0.68,0.68,0
2020-05-28,0.7,0.7,0.7,0.7,0
2020-05-29,0.65,0.65,0.65,0.65,0
2020-06-01,0.66,0.66,0.66,0.66,0
2020-06-02,0.68,0.68,0.68,0.68,0
2020-06-03,0.77,0.77,0.77,0.77,0
2020-06-04,0.82,0.82,0.82,0.82,0
2020-06-05,0.91,0.91,0.91,0.91,0
2020-06-08,0.88,0.88,0.88,0.88,0
2020-06-09,0.84,0.84,0.84,0.84,0
2020-06-10,0.75,0.75,0.75,0.75,0
2020-06-11,0.66,0.66,0.66,0.66,0
2020-06-12,0.71,0.71,0.71,0.71,0
2020-06-15,0.71,0.71,0.71,0.71,0
2020-06-16,0.75,0.75,0.75,0.75,0
2020-06-17,0.74,0.74,0.74,0.74,0
2020-06-18,0.71,0.71,0.71,0.71,0
2020-06-19,0.7,0.7,0.7,0.7,0
2020-06-22,0.71,0.71,0.71,0.71,0
2020-06-23,0.72,0.72,0.72,0.72,0
2020-06-24,0.69,0.69,0.69,0.69,0
2020-06-25,0.68,0.68,0.68,0.68,0
2020-06-26,0.64,0.64,0.64,0.64,0
2020-06-29,0.64,0.64,0.64,0.64,0
2020-06-30,0.66,0.66,0.66,0.66,0
2020-07-01,0.69,0.69,0.69,0.69,0
2020-07-02,0.68,0.68,0.68,0.68,0
2020-07-03,0.685,0.685,0.685,0.685,0
2020-07-06,0.69,0.69,0.69,0.69,0
2020-07-07,0.65,0.65,0.65,0.65,0
2020-07-08,0.67,0.67,0.67,0.67,0
2020-07-09,0.62,0.62,0.62,0.62,0
2020-07-10,0.65,0.65,0.65,0.65,0
2020-07-13,0.64,0.64,0.64,0.64,0
2020-07-14,0.63,0.63,0.63,0.63,0
2020-07-15,0.64,0.64,0.64,0.64,0
2020-07-16,0.62,0.62,0.62,0.62,0
2020-07-17,0.64,0.64,0.64,0.64,0
2020-07-20,0.62,0.62,0.62,0.62,0
2020-07-21,0.61,0.61,0.61,0.61,0
2020-07-22,0.6,0.6,0.6,0.6,0
2020-07-23,0.59,0.59,0.59,0.59,0
2020-07-24,0.59,0.59,0.59,0.59,0
2020-07-27,0.62,0.62,0.62,0.62,0
2020-07-28,0.59,0.59,0.59,0.59,0
2020-07-29,0.58,0.58,0.58,0.58,0
2020-07-30,0.55,0.55,0.55,0.55,0
2020-07-31,0.55,0.55,0.55,0.55,0
2020-08-03,0.56,0.56,0.56,0.56,0
2020-08-04,0.52,0.52,0.52,0.52,0
2020-08-05,0.55,0.55,0.55,0.55,0
2020-08-06,0.55,0.55,0.55,0.55,0
2020-08-07,0.57,0.57,0.57,0.57,0
2020-08-10,0.59,0.59,0.59,0.59,0
2020-08-11,0.64,0.64,0.64,0.64,0
2020-08-12,0.69,0.69,0.69,0.69,0
2020-08-13,0.71,0.71,0.71,0.71,0
2020-08-14,0.71,0.71,0.71,0.71,0
2020-08-17,0.69,0.69,0.69,0.69,0
2020-08-18,0.67,0.67,0.67,0.67,0
2020-08-19,0.68,0.68,0.68,0.68,0
2020-08-20,0.65,0.65,0.65,0.65,0
2020-08-21,0.64,0.64,0.64,0.64,0
2020-08-24,0.65,0.65,0.65,0.65,0
2020-08-25,0.69,0.69,0.69,0.69,0
2020-08-26,0.69,0.69,0.69,0.69,0
2020-08-27,0.74,0.74,0.74,0.74,0
2020-08-28,0.74,0.74,0.74,0.74,0
2020-08-31,0.72,0.72,0.72,0.72,0
2020-09-01,0.68,0.68,0.68,0.68,0
2020-09-02,0.66,0.66,0.66,0.66,0
2020-09-03,0.63,0.63,0.63,0.63,0
2020-09-04,0.72,0.72,0.72,0.72,0
2020-09-07,0.705,0.705,0.705,0.705,0
2020-09-08,0.69,0.69,0.69,0.69,0
2020-09-09,0.71,0.71,0.71,0.71,0
