Date,Close,High,Low,Open,Volume,ticker,source,is_filled
2023-07-11,328.6380615234375,329.0235508256902,323.2311057346372,327.2443090989925,26698200,MSFT,yfinance,0
2023-07-12,333.3135070800781,337.71219910160477,331.8011427844251,332.7204165362099,29995300,MSFT,yfinance,0
2023-07-13,338.7106018066406,339.7781407604892,335.1125409329444,335.64632549278923,20567200,MSFT,yfinance,0
2023-07-14,341.2608642578125,347.3795227060363,340.3415903808926,343.5837849407625,28302200,MSFT,yfinance,0
2023-07-17,341.74517822265625,342.9906351370045,338.2558656850638,341.69573641572873,20363900,MSFT,yfinance,0
2023-07-18,355.3465881347656,362.55257365392396,338.2262375492029,341.84402665294436,64872700,MSFT,yfinance,0
2023-07-19,350.9874267578125,358.28237161878195,348.37787039921096,357.5805633410372,39732900,MSFT,yfinance,0
2023-07-20,342.8720703125,353.8441409060029,341.3893588854277,349.4948600864259,33778400,MSFT,yfinance,0
2023-07-21,339.8077697753906,346.2625051878546,335.91317895795135,345.12576587462695,69368900,MSFT,yfinance,0
2023-07-24,341.1323547363281,342.9215209904844,338.36463873391983,341.8638462386976,26678100,MSFT,yfinance,0
2023-07-25,346.9347229003906,347.83423813906484,341.09283612999536,343.1093019955314,41637700,MSFT,yfinance,0
2023-07-26,333.876953125,340.6974499210077,329.2706592716007,337.504667075425,58383700,MSFT,yfinance,0
2023-07-27,326.908203125,337.3959003723981,325.25743786483986,336.5557213978174,39635300,MSFT,yfinance,0
2023-07-28,334.47003173828125,336.0911440101426,329.3299836672118,329.82422079899777,28484900,MSFT,yfinance,0
2023-07-31,332.04827880859375,333.80776174298603,329.5177570105008,333.0367530451251,25446000,MSFT,yfinance,0
2023-08-01,332.46343994140625,334.6380954513858,329.85388349527227,331.32670053812484,18311900,MSFT,yfinance,0
2023-08-02,323.7253112792969,329.7846631535933,322.59843617417204,329.7846631535933,27761300,MSFT,yfinance,0
2023-08-03,322.89501953125,326.07790799446406,322.1932112223528,322.24262287118034,18253700,MSFT,yfinance,0
2023-08-04,324.0020751953125,331.277261063739,323.46829067572776,328.05482548758084,23727700,MSFT,yfinance,0
2023-08-07,326.30523681640625,327.29371111677887,323.74509199834216,324.5853011868272,17741500,MSFT,yfinance,0
2023-08-08,322.29205322265625,324.9609460627409,319.27721848901996,323.1915685107464,22327600,MSFT,yfinance,0
2023-08-09,318.51605224609375,323.3397810015837,317.3496297643479,322.7071731999779,22373300,MSFT,yfinance,0
2023-08-10,319.2080078125,324.4765928787493,317.4781777368132,322.26238986909726,20113700,MSFT,yfinance,0
2023-08-11,317.3101501464844,318.69400815708644,315.5308782764169,316.56879440875014,24342600,MSFT,yfinance,0
2023-08-14,320.30523681640625,320.32499544370245,316.3908566710484,317.68578582210785,18836100,MSFT,yfinance,0
