,SPY,UPRO,SSO,TLT,GLD,^VIX,^SPX,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred
2020-04-14,,,,,,,,7.35,7.35,7.35,7.35,0,0.76,0.76,0.76,0.76,0.0
2020-04-15,,,,,,,,7.64,7.64,7.64,7.64,0,0.63,0.63,0.63,0.63,0.0
2020-04-16,,,,,,,,7.58,7.58,7.58,7.58,0,0.61,0.61,0.61,0.61,0.0
2020-04-17,,,,,,,,7.31,7.31,7.31,7.31,0,0.65,0.65,0.65,0.65,0.0
2020-04-20,,,,,,,,7.52,7.52,7.52,7.52,0,0.63,0.63,0.63,0.63,0.0
2020-04-21,,,,,,,,7.9,7.9,7.9,7.9,0,0.58,0.58,0.58,0.58,0.0
2020-04-22,,,,,,,,7.85,7.85,7.85,7.85,0,0.63,0.63,0.63,0.63,0.0
2020-04-23,,,,,,,,7.87,7.87,7.87,7.87,0,0.61,0.61,0.61,0.61,0.0
2020-04-24,,,,,,,,8.03,8.03,8.03,8.03,0,0.6,0.6,0.6,0.6,0.0
2020-04-27,,,,,,,,8.01,8.01,8.01,8.01,0,0.67,0.67,0.67,0.67,0.0
2020-04-28,,,,,,,,8.02,8.02,8.02,8.02,0,0.62,0.62,0.62,0.62,0.0
2020-04-29,,,,,,,,7.87,7.87,7.87,7.87,0,0.63,0.63,0.63,0.63,0.0
2020-04-30,,,,,,,,7.63,7.63,7.63,7.63,0,0.64,0.64,0.64,0.64,0.0
2020-05-01,,,,,,,,7.7,7.7,7.7,7.7,0,0.64,0.64,0.64,0.64,0.0
2020-05-04,,,,,,,,7.79,7.79,7.79,7.79,0,0.64,0.64,0.64,0.64,0.0
2020-05-05,,,,,,,,7.6,7.6,7.6,7.6,0,0.66,0.66,0.66,0.66,0.0
2020-05-06,,,,,,,,7.6,7.6,7.6,7.6,0,0.72,0.72,0.72,0.72,0.0
2020-05-07,,,,,,,,7.6,7.6,7.6,7.6,0,0.63,0.63,0.63,0.63,0.0
2020-05-08,,,,,,,,7.52,7.52,7.52,7.52,0,0.69,0.69,0.69,0.69,0.0
2020-05-11,,,,,,,,7.51,7.51,7.51,7.51,0,0.73,0.73,0.73,0.73,0.0
2020-05-12,,,,,,,,7.42,7.42,7.42,7.42,0,0.69,0.69,0.69,0.69,0.0
2020-05-13,,,,,,,,7.61,7.61,7.61,7.61,0,0.64,0.64,0.64,0.64,0.0
2020-05-14,,,,,,,,7.77,7.77,7.77,7.77,0,0.63,0.63,0.63,0.63,0.0
2020-05-15,,,,,,,,7.78,7.78,7.78,7.78,0,0.64,0.64,0.64,0.64,0.0
2020-05-18,,,,,,,,7.41,7.41,7.41,7.41,0,0.73,0.73,0.73,0.73,0.0
2020-05-19,,,,,,,,7.35,7.35,7.35,7.35,0,0.7,0.7,0.7,0.7,0.0
2020-05-20,,,,,,,,7.16,7.16,7.16,7.16,0,0.68,0.68,0.68,0.68,0.0
2020-05-21,,,,,,,,7.08,7.08,7.08,7.08,0,0.68,0.68,0.68,0.68,0.0
2020-05-22,,,,,,,,7.06,7.06,7.06,7.06,0,0.66,0.66,0.66,0.66,0.0
2020-05-26,,,,,,,,6.75,6.75,6.75,6.75,0,0.69,0.69,0.69,0.69,0.0
2020-05-27,,,,,,,,6.7,6.7,6.7,6.7,0,0.68,0.68,0.68,0.68,0.0
2020-05-28,,,,,,,,6.6,6.6,6.6,6.6,0,0.7,0.7,0.7,0.7,0.0
2020-05-29,,,,,,,,6.71,6.71,6.71,6.71,0,0.65,0.65,0.65,0.65,0.0
2020-06-01,,,,,,,,6.43,6.43,6.43,6.43,0,0.66,0.66,0.66,0.66,0.0
2020-06-02,,,,,,,,6.18,6.18,6.18,6.18,0,0.68,0.68,0.68,0.68,0.0
2020-06-03,,,,,,,,5.8,5.8,5.8,5.8,0,0.77,0.77,0.77,0.77,0.0
2020-06-04,,,,,,,,5.83,5.83,5.83,5.83,0,0.82,0.82,0.82,0.82,0.0
2020-06-05,,,,,,,,5.5,5.5,5.5,5.5,0,0.91,0.91,0.91,0.91,0.0
2020-06-08,,,,,,,,5.51,5.51,5.51,5.51,0,0.88,0.88,0.88,0.88,0.0
2020-06-09,,,,,,,,5.75,5.75,5.75,5.75,0,0.84,0.84,0.84,0.84,0.0
2020-06-10,,,,,,,,5.92,5.92,5.92,5.92,0,0.75,0.75,0.75,0.75,0.0
2020-06-11,,,,,,,,6.4,6.4,6.4,6.4,0,0.66,0.66,0.66,0.66,0.0
2020-06-12,,,,,,,,6.28,6.28,6.28,6.28,0,0.71,0.71,0.71,0.71,0.0
2020-06-15,,,,,,,,6.25,6.25,6.25,6.25,0,0.71,0.71,0.71,0.71,0.0
2020-06-16,,,,,,,,5.78,5.78,5.78,5.78,0,0.75,0.75,0.75,0.75,0.0
2020-06-17,,,,,,,,5.85,5.85,5.85,5.85,0,0.74,0.74,0.74,0.74,0.0
2020-06-18,,,,,,,,6.01,6.01,6.01,6.01,0,0.71,0.71,0.71,0.71,0.0
2020-06-19,,,,,,,,6.02,6.02,6.02,6.02,0,0.7,0.7,0.7,0.7,0.0
2020-06-22,,,,,,,,6.03,6.03,6.03,6.03,0,0.71,0.71,0.71,0.71,0.0
2020-06-23,,,,,,,,6.02,6.02,6.02,6.02,0,0.72,0.72,0.72,0.72,0.0
2020-06-24,,,,,,,,6.23,6.23,6.23,6.23,0,0.69,0.69,0.69,0.69,0.0
2020-06-25,,,,,,,,6.3,6.3,6.3,6.3,0,0.68,0.68,0.68,0.68,0.0
2020-06-26,,,,,,,,6.41,6.41,6.41,6.41,0,0.64,0.64,0.64,0.64,0.0
2020-06-29,,,,,,,,6.52,6.52,6.52,6.52,0,0.64,0.64,0.64,0.64,0.0
2020-06-30,,,,,,,,6.44,6.44,6.44,6.44,0,0.66,0.66,0.66,0.66,0.0
2020-07-01,,,,,,,,6.33,6.33,6.33,6.33,0,0.69,0.69,0.69,0.69,0.0
2020-07-02,,,,,,,,6.17,6.17,6.17,6.17,0,0.68,0.68,0.68,0.68,0.0
2020-07-06,,,,,,,,6.03,6.03,6.03,6.03,0,0.69,0.69,0.69,0.69,0.0
2020-07-07,,,,,,,,6.04,6.04,6.04,6.04,0,0.65,0.65,0.65,0.65,0.0
2020-07-08,,,,,,,,6.06,6.06,6.06,6.06,0,0.67,0.67,0.67,0.67,0.0
2020-07-09,,,,,,,,6.14,6.14,6.14,6.14,0,0.62,0.62,0.62,0.62,0.0
2020-07-10,,,,,,,,6.14,6.14,6.14,6.14,0,0.65,0.65,0.65,0.65,0.0
2020-07-13,,,,,,,,6.01,6.01,6.01,6.01,0,0.64,0.64,0.64,0.64,0.0
2020-07-14,,,,,,,,6.03,6.03,6.03,6.03,0,0.63,0.63,0.63,0.63,0.0
2020-07-15,,,,,,,,5.81,5.81,5.81,5.81,0,0.64,0.64,0.64,0.64,0.0
2020-07-16,,,,,,,,5.76,5.76,5.76,5.76,0,0.62,0.62,0.62,0.62,0.0
2020-07-17,,,,,,,,5.74,5.74,5.74,5.74,0,0.64,0.64,0.64,0.64,0.0
2020-07-20,,,,,,,,5.54,5.54,5.54,5.54,0,0.62,0.62,0.62,0.62,0.0
2020-07-21,,,,,,,,5.33,5.33,5.33,5.33,0,0.61,0.61,0.61,0.61,0.0
2020-07-22,,,,,,,,5.28,5.28,5.28,5.28,0,0.6,0.6,0.6,0.6,0.0
2020-07-23,,,,,,,,5.26,5.26,5.26,5.26,0,0.59,0.59,0.59,0.59,0.0
2020-07-24,,,,,,,,5.29,5.29,5.29,5.29,0,0.59,0.59,0.59,0.59,0.0
2020-07-27,,,,,,,,5.24,5.24,5.24,5.24,0,0.62,0.62,0.62,0.62,0.0
2020-07-28,,,,,,,,5.27,5.27,5.27,5.27,0,0.59,0.59,0.59,0.59,0.0
2020-07-29,,,,,,,,5.15,5.15,5.15,5.15,0,0.58,0.58,0.58,0.58,0.0
2020-07-30,,,,,,,,5.14,5.14,5.14,5.14,0,0.55,0.55,0.55,0.55,0.0
2020-07-31,,,,,,,,5.16,5.16,5.16,5.16,0,0.55,0.55,0.55,0.55,0.0
2020-08-03,,,,,,,,5.08,5.08,5.08,5.08,0,0.56,0.56,0.56,0.56,0.0
2020-08-04,,,,,,,,5.13,5.13,5.13,5.13,0,0.52,0.52,0.52,0.52,0.0
2020-08-05,,,,,,,,5.04,5.04,5.04,5.04,0,0.55,0.55,0.55,0.55,0.0
2020-08-06,,,,,,,,5.06,5.06,5.06,5.06,0,0.55,0.55,0.55,0.55,0.0
2020-08-07,,,,,,,,5.06,5.06,5.06,5.06,0,0.57,0.57,0.57,0.57,0.0
2020-08-10,,,,,,,,5.09,5.09,5.09,5.09,0,0.59,0.59,0.59,0.59,0.0
2020-08-11,,,,,,,,5.03,5.03,5.03,5.03,0,0.64,0.64,0.64,0.64,0.0
2020-08-12,,,,,,,,5.1,5.1,5.1,5.1,0,0.69,0.69,0.69,0.69,0.0
2020-08-13,,,,,,,,5.16,5.16,5.16,5.16,0,0.71,0.71,0.71,0.71,0.0
2020-08-14,,,,,,,,5.26,5.26,5.26,5.26,0,0.71,0.71,0.71,0.71,0.0
2020-08-17,,,,,,,,5.29,5.29,5.29,5.29,0,0.69,0.69,0.69,0.69,0.0
2020-08-18,,,,,,,,5.26,5.26,5.26,5.26,0,0.67,0.67,0.67,0.67,0.0
2020-08-19,,,,,,,,5.25,5.25,5.25,5.25,0,0.68,0.68,0.68,0.68,0.0
2020-08-20,,,,,,,,5.28,5.28,5.28,5.28,0,0.65,0.65,0.65,0.65,0.0
2020-08-21,,,,,,,,5.25,5.25,5.25,5.25,0,0.64,0.64,0.64,0.64,0.0
2020-08-24,,,,,,,,5.17,5.17,5.17,5.17,0,0.65,0.65,0.65,0.65,0.0
2020-08-25,,,,,,,,5.07,5.07,5.07,5.07,0,0.69,0.69,0.69,0.69,0.0
2020-08-26,,,,,,,,5.02,5.02,5.02,5.02,0,0.69,0.69,0.69,0.69,0.0
2020-08-27,,,,,,,,4.98,4.98,4.98,4.98,0,0.74,0.74,0.74,0.74,0.0
2020-08-28,,,,,,,,5.0,5.0,5.0,5.0,0,0.74,0.74,0.74,0.74,0.0
2020-08-31,,,,,,,,5.02,5.02,5.02,5.02,0,0.72,0.72,0.72,0.72,0.0
2020-09-01,,,,,,,,4.97,4.97,4.97,4.97,0,0.68,0.68,0.68,0.68,0.0
2020-09-02,,,,,,,,4.93,4.93,4.93,4.93,0,0.66,0.66,0.66,0.66,0.0
2020-09-03,,,,,,,,5.04,5.04,5.04,5.04,0,0.63,0.63,0.63,0.63,0.0
2020-09-04,,,,,,,,5.13,5.13,5.13,5.13,0,0.72,0.72,0.72,0.72,0.0
2020-09-08,,,,,,,,5.25,5.25,5.25,5.25,0,0.69,0.69,0.69,0.69,0.0
2020-09-09,,,,,,,,5.16,5.16,5.16,5.16,0,0.71,0.71,0.71,0.71,0.0
