Date,ticker,Open,Close,High,Low,Volume
1997-06-06,BAMLH0A0HYM2,2.7,2.7,2.7,2.7,0
1997-06-09,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-06-10,BAMLH0A0HYM2,2.56,2.56,2.56,2.56,0
1997-06-11,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-06-12,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-06-13,BAMLH0A0HYM2,2.62,2.62,2.62,2.62,0
1997-06-16,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
1997-06-17,BAMLH0A0HYM2,2.58,2.58,2.58,2.58,0
1997-06-18,BAMLH0A0HYM2,2.62,2.62,2.62,2.62,0
1997-06-19,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-06-20,BAMLH0A0HYM2,2.64,2.64,2.64,2.64,0
1997-06-23,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-06-24,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
1997-06-25,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-06-26,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-06-27,BAMLH0A0HYM2,2.63,2.63,2.63,2.63,0
1997-06-30,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-07-01,BAMLH0A0HYM2,2.7,2.7,2.7,2.7,0
1997-07-02,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-07-03,BAMLH0A0HYM2,2.79,2.79,2.79,2.79,0
1997-07-04,BAMLH0A0HYM2,,,,,0
1997-07-07,BAMLH0A0HYM2,2.82,2.82,2.82,2.82,0
1997-07-08,BAMLH0A0HYM2,2.8,2.8,2.8,2.8,0
1997-07-09,BAMLH0A0HYM2,2.8,2.8,2.8,2.8,0
1997-07-10,BAMLH0A0HYM2,2.78,2.78,2.78,2.78,0
1997-07-11,BAMLH0A0HYM2,2.76,2.76,2.76,2.76,0
